"file","station","start_time_utc","start_time_pt","start_longitude_dd","start_latitude_dd","depth_bin_mid_m","mean_fluor"
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,46.75,0.0768272727272727
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,47.25,0.064175
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,47.75,0.046302
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,48.25,0.0574869565217391
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,48.75,0.0406578947368421
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,49.25,0.0534692307692308
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,49.75,0.034875
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,50.25,0.0365653846153846
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,50.75,0.0485196078431373
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,51.25,0.0416859649122807
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,51.75,0.0332209677419355
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,52.25,0.0412233333333333
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,52.75,0.0519666666666667
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,53.25,0.0596404761904762
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,53.75,0.0547571428571429
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,54.25,0.055092
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,54.75,0.0400768115942029
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,55.25,0.051576
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,55.75,0.0578720930232558
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,56.25,0.0442441860465116
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,56.75,0.0498434782608696
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,57.25,0.04513
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,57.75,0.0248863636363636
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,58.25,0.0255493392070485
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,58.75,0.028064767331434
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,59.25,0.0402466666666667
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,59.75,0.0408047619047619
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,60.25,0.0278755555555556
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,60.75,0.0206734693877551
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,61.25,0.0197139534883721
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,61.75,0.0259803571428571
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,62.25,0.0332146666666667
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,62.75,0.0262181818181818
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,63.25,0.0185346153846154
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,63.75,0.0156641509433962
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,64.25,0.0140269230769231
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,64.75,0.01473125
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,65.25,0.0211729411764706
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,65.75,0.00566543209876543
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,66.25,0.00841261261261261
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,66.75,0.0119393442622951
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,67.25,0.00799689608636977
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,67.75,0.0168015914257876
"cast002_24Hz.cnv","MA1",2018-07-05 13:08:42,2018-07-05 06:08:42,-124.289,44.652,68.25,-0.00802857142857143
